image,manual,detectron2,yolov8,,
1,17,15,6,,
2,3,3,2,,
3,0,2,0,,
4,1,0,0,,
5,4,4,0,,
6,12,10,7,,
7,2,2,2,,
8,0,0,0,,
9,29,10,11,,
10,3,4,2,,
,,,,,
,Correct:,0.7042253521,,,
,Wrong:,0.4225352113,,,
,,,,,
,Detectron CFM:,,,YOLOV8 CFM:,
,47,2,,30,0
,23,1,,20,0
